player_id,birth_date
00-0000003,1974-06-28
00-0000007,1975-04-27
00-0000104,1966-11-21
00-0000145,1971-11-06
00-0000166,1975-11-07
00-0000172,1975-06-07
00-0000210,1975-03-28
00-0000232,1968-02-21
00-0000242,1974-09-09
00-0000279,1966-09-10
00-0000316,1972-09-30
00-0000387,1976-10-20
00-0000422,1973-01-01
00-0000541,1976-01-11
00-0000552,1975-03-05
00-0000627,1976-03-18
00-0000721,1974-02-17
00-0000722,1973-04-05
00-0000745,1975-04-07
00-0000765,1973-01-22
00-0000856,1977-09-03
00-0000865,1974-12-05
00-0000869,1975-12-04
00-0000871,1973-01-16
00-0000872,1969-12-19
00-0000883,1973-01-25
00-0000911,1971-06-14
00-0000942,1974-09-18
00-0000969,1971-08-20
00-0001103,1969-02-15
00-0001112,1977-03-17
00-0001215,1972-02-16
00-0001218,1965-03-07
00-0001224,1974-01-24
00-0001233,1969-08-15
00-0001281,1971-12-15
00-0001317,1975-07-06
00-0001335,1970-12-04
00-0001361,1972-02-14
00-0001471,1962-05-11
00-0001477,1976-07-31
00-0001525,1972-03-13
00-0001532,1978-08-19
00-0001582,1972-02-29
00-0001627,1975-12-08
00-0001661,1972-01-14
00-0001719,1976-05-22
00-0001766,1975-03-22
00-0001783,1971-01-25
00-0001785,1962-08-15
00-0001842,1975-02-02
00-0001862,1974-11-30
00-0001907,1970-02-25
00-0001919,1970-03-31
00-0001938,1969-07-01
00-0002005,1977-02-22
00-0002058,1966-07-22
00-0002068,1971-07-02
00-0002099,1972-11-10
00-0002102,1972-09-16
00-0002110,1970-09-17
00-0002380,1974-07-04
00-0002459,1974-05-29
00-0002469,1974-11-16
00-0002544,1968-03-29
00-0002565,1976-04-13
00-0002586,1975-12-06
00-0002701,1974-01-20
00-0002713,1972-08-23
00-0002721,1965-11-25
00-0002743,1973-09-12
00-0002787,1972-07-07
00-0002861,1971-10-17
00-0002873,1972-09-07
00-0002876,1965-10-12
00-0002942,1977-10-12
00-0002958,1969-02-22
00-0002962,1973-08-14
00-0002985,1974-04-27
00-0003035,1977-04-20
00-0003039,1972-04-07
00-0003103,1975-08-15
00-0003128,1971-11-24
00-0003136,1975-07-01
00-0003142,1969-08-16
00-0003175,1972-08-07
00-0003266,1976-08-20
00-0003271,1976-11-19
00-0003292,1972-12-30
00-0003310,1975-11-01
00-0003344,1975-07-29
00-0003378,1974-05-13
00-0003396,1971-01-13
00-0003400,1972-08-17
00-0003441,1975-06-21
00-0003535,1977-07-31
00-0003557,1976-01-17
00-0003663,1972-12-02
00-0003681,1967-08-08
00-0003700,1976-09-13
00-0003715,1971-09-05
00-0003739,1977-01-28
00-0003761,1963-03-27
00-0003803,1975-07-02
00-0003944,1972-07-06
00-0004004,1973-05-14
00-0004052,1974-03-01
00-0004054,1972-10-28
00-0004060,1975-09-14
00-0004063,1972-06-30
00-0004071,1975-01-16
00-0004077,1971-02-03
00-0004079,1967-11-16
00-0004161,1975-01-10
00-0004172,1973-04-03
00-0004200,1976-12-08
00-0004229,1973-07-05
00-0004230,1967-10-30
00-0004293,1972-03-13
00-0004294,1971-02-02
00-0004304,1974-10-24
00-0004386,1973-05-19
00-0004463,1976-03-15
00-0004524,1970-06-29
00-0004541,1975-02-02
